SPECIES,COMMONNAME
Astragalus eurylobus,Peck Station Milkvetch
Astragalus geyeri,Geyer's Mikl-vetch
Astragalus geyeri var. triquetrus,Beaver Dam Milk-vetch
Astragalus holmgreniorum,Holmgren (Paradox) Milk-vetch
Astragalus humistratus,Ground-cover Milkvetch
Astragalus humistratus var. crispulus,Villous Ground-cover Milkvetch
Astragalus hypoxylus,Huachuca Milkvetch
Astragalus insularis,Sand Flat Milk-vetch
Astragalus insularis var. harwoodii,Sand Flat Milk-vetch
Astragalus lancearius,Lancer Milk-vetch
Astragalus lentiginosus,Freckled Milk-vetch
Astragalus lentiginosus var. ambiguus,Freckled Milk-vetch
Astragalus lentiginosus var. maricopae,Maricopa Milk-vetch
Astragalus lentiginosus var. mokiacensis,Mokiak Milkvetch
Astragalus magdalenae,Magdalena Milk-vetch
Astragalus magdalenae var. peirsonii,Peirson's Milkvetch
Astragalus mokiacensis,Mokiak Milkvetch
Astragalus monumentalis,Monument Valley Milk-vetch
Astragalus newberryi,Newberry's Milk-vetch
Astragalus newberryi var. aquarii,Aquarius Milkvetch
Astragalus nidularius,Bird's-nest Milkvetch
Astragalus nutriosensis,Nutrioso Milk-vetch
Astragalus pinonis,Pinyon Milkvetch
Astragalus pinonis var. atwoodii,Duane's Milkvetch
Astragalus pinonis var. pinonis,Pinyon Milkvetch
Astragalus piscator,Fisher Milkvetch
Astragalus preussii,Preuss' Milk-vetch
Astragalus preussii var. cutleri,Copper Canyon Milk-vetch
Astragalus preussii var. latus,Preuss' Milk-vetch
Astragalus preussii var. laxiflorus,Lancaster Milk-vetch
Astragalus preussii var. preussii,Preuss' Milk-vetch
Astragalus rusbyi,Rusby's Milk-vetch
Astragalus sophoroides,Painted Desert Milkvetch
Astragalus straturensis,Pine Valley Milkvetch
Astragalus striatiflorus,Striped Flower Milk Vetch
Astragalus tephrodes var. eurylobus,Peck Station Milkvetch
Astragalus titanophilus,Limestone Milkvetch
Astragalus toanus,Toano Milk-vetch
Astragalus toanus var. scidulus,Diamond Butte Milkvetch
Astragalus triquetrus,Beaver Dam Milk-vetch
Astragalus troglodytus,Creeping Milkvetch
Astragalus xiphoides,Gladiator Milkvetch
Astragalus zionis,A Milk-vetch
Astragalus zionis var. zionis,Zion Milkvetch
Astraptes,
Astraptes fulgerator,Two-barred Flasher
Asturina nitida maxima,Gray Hawk
Astyanax,
Astyanax mexicanus,Mexican Tetra
Astylis,
Astylis biedermani,A Notodontid Moth
Astylis sp. 1,A Notodontid Moth
Atalopedes,
Atalopedes campestris,Sachem
Atamisquea,
Atamisquea emarginata,Desert Tree Caper
Atamosco longifolia,Copper Zephyr Lily
Athene,
Athene cunicularia,Burrowing Owl
Athene cunicularia hypugaea,Western Burrowing Owl
Atlides,
Atlides halesus,Great Purple Hairstreak
Atopsyche,
Atopsyche sperryi,A Caddisfly
Atopsyche tripunctata,A Caddisfly
Atriplex,saltbush
Atriplex argentea,Silvery Saltbush
Atriplex argentea var. argentea,Silvery Saltbush
Atriplex argentea var. rydbergii,Rydberg's Orach
Atriplex asterocarpa,Chinle saltbush
Atriplex brandegeei,Brandegee Siltbush
Atriplex cuneata,Castle Valley Saltbush
Atriplex gardneri,Gardner's Saltbush
Atriplex gardneri var. cuneata,Castle Valley Saltbush
Atriplex garrettii,Garrett's Saltbush
Atriplex garrettii var. navajoensis,Navajo Saltbush
Atriplex griffithsii,Griffiths' Saltbush
Atriplex lentiformis ssp griffithsii,Griffiths' Saltbush
Atriplex lentiformis ssp. torreyi,Torrey's Saltbush
Atriplex lentiformis var. griffithsii,Griffiths' Saltbush
Atriplex lentiformis var. torreyi,Torrey's Saltbush
Atriplex navajoensis,Navajo Saltbush
Atriplex pachypoda,Rydberg's Orach
Atriplex rydbergii,Rydberg's Orach
Atriplex torreyi,Torrey's Saltbush
Atriplex torreyi var. griffithsii,Griffiths' Saltbush
Atriplex torreyi var. torreyi,Torrey's Saltbush
Atrytonopsis,
Atrytonopsis cestus,Cestus Skipper
Atrytonopsis deva,Deva Skipper
Atrytonopsis edwardsi,Sheep Skipper
Atrytonopsis lunus,Lunus Skipper
Atrytonopsis pittacus,Pittacus Skipper
Atrytonopsis python,Python Skipper
Atrytonopsis vierecki,Viereck's Skipper
Atthis,
Atthis heloisa,Bumblebee Hummingbird
Augochlora,
Augochlora aurifera,
Augochlora pura,
Auriparus,
Auriparus flaviceps,Verdin
Autochton,
Autochton cellus,Golden-banded Skipper
Autochton pseudocellus,Sonoran Banded-skipper
Automeris,
Automeris patagoniensis,Patagonia Eyed Silkmoth
Ayenia,
Ayenia glabra,See: Ayenia jaliscana
Ayenia jaliscana,Ayenia
Ayenia truncata,Ayenia
Aythya,
Aythya affinis,Lesser Scaup
Aythya americana,Redhead
Aythya collaris,Ring-necked Duck
Aythya fuligula,Tufted Duck
Aythya marila,Greater Scaup
Aythya valisineria,Canvasback
Azolla,mosquitofern
Azolla arbuscula,Western Mosquito Fern
Azolla bonariensis,Western Mosquito Fern
Azolla caroliniana,Western Mosquito Fern
Azolla densa,Western Mosquito Fern
Azolla filiculoides,Western Mosquito Fern
Azolla magellanica,Western Mosquito Fern
Azolla microphylla,Western Mosquito Fern
Azollaceae,
Aztecacris,
Aztecacris gloriosus,Atascosa Gem Grasshopper
Bacopa,waterhyssop
Bacopa monnieri,Herb-of-Grace
Bacopa nobsiana,Disk Water Hyssop
Bacopa rotundifolia,Disk Water Hyssop
Bacopa simulans,Disk Water Hyssop
Baeolophus,
Baeolophus griseus,Juniper Titmouse
Baeolophus ridgwayi,Juniper Titmouse
Baeolophus wollweberi,Bridled Titmouse
Baetidae,
Baetis,
Baetis notos,A Mayfly
Baetodes,
Baetodes arizonensis,A Mayfly
Baetodes edmundsi,A Mayfly
Baiomys,
Baiomys taylori,Northern Pygmy Mouse
Bairdiella,
Bairdiella icistia,Bairdiella
Balsamorhiza,balsamroot
Balsamorhiza hookeri,Hooker Balsamroot
Balsamorhiza hookeri var. hispidula,A Balsamroot
Bartramia,
Bartramia longicauda,Upland Sandpiper
Bartramiaceae,
Barytettix,
Barytettix humphreysi,Humphrey's Grasshopper
Basileuterus,
Basileuterus lachrymosus,Fan-tailed Warbler
Basileuterus rufifrons,Rufous-capped Warbler
Basistelma angustifolia,Wiggins Milkweed Vine
Bassariscus,
Bassariscus astutus,Ringtail
Bassia scoparia,Mexican Fireweed
Bat Colony,
Bat Foraging Area,High Netting Concentration
Batidaea sandbergii,Western Raspberry
Battus,
Battus philenor,Pipevine Swallowtail
Battus polydamas,Polydamus Swallowtail
Beckmannia,
Beckmannia eruciformis,American Sloughgrass
Beckmannia eruciformis ssp. syzigachne,American Sloughgrass
Beckmannia syzigachne,American Sloughgrass
Belostoma,
Belostoma bakeri,A Giant Water Bug
Belostoma fluminea,A Giant Water Bug
Belostoma flumineum,A Giant Water Bug
Belostomatidae,Giant Water Bugs
Berberidaceae,barberry family
Berberis,barberry
Berberis harrisoniana,Kofa Mt Barberry
Berlandiera,
Berlandiera lyrata var. monocephala,A Daisy
Berlandiera monocephala,A Daisy
Berula,
Berula angustifolia,Cut-leaf-water-parsnip
Berula erecta,Cut-leaf-water-parsnip
Berula erecta var. incisa,Cut-leaf-water-parsnip
Berula incisa,Cut-leaf-water-parsnip
Berula pusilla,Cut-leaf-water-parsnip
Berula thunbergii,Cut-leaf-water-parsnip
Betulaceae,birch family
Bidens,beggarticks
Bidens aurea,Arizona Beggarticks
Bidens aurea var. wrightii,Arizona Beggarticks
Bidens cernua,Nodding Beggartick
Bidens cernua var. cernua,Nodding Beggartick
Bidens cernua var. dentata,Nodding Beggartick
Bidens cernua var. elliptica,Nodding Beggartick
Bidens cernua var. integra,Nodding Beggartick
Bidens cernua var. minima,Nodding Beggartick
Bidens cernua var. oligodonta,Nodding Beggartick
Bidens cernua var. radiata,Nodding Beggartick
Bidens elegans,Smooth Beggarticks
Bidens ferulaefolia,Arizona Beggarticks
Bidens ferulifolia,Arizona Beggarticks
Bidens glaucescens,Nodding Beggartick
Bidens heterophylla,Arizona Beggarticks
Bidens heterophylla var. wrightii,Arizona Beggarticks
Bidens laevis,Smooth Beggarticks
Bidens nashii,Smooth Beggarticks
Bifolium convallarioides,Broad-leaved Twayblade
Bigelovia intricata,Shrubby Alkali Desert Tansy-aster
Bigelowia mohavensis,Mohave Rabbitbrush
Bignoniaceae,trumpet-creeper family
Biomphalaria,
Biomphalaria havanensis,Ghost Rams-horn
Bison bison,American Bison
Bixaceae,lipstick-tree family
Blephariceridae,
Boechera,
Boechera gracilipes,Flagstaff Rockcress
Boehmeria,false nettle
Boehmeria austrina,Small-spike False Nettle
Boehmeria cyclindrica var. scabra,Small-spike False Nettle
Boehmeria cylindrica,Small-spike False Nettle
Boehmeria cylindrica var. drummondiana,Small-spike False Nettle
Boehmeria decurrens,Small-spike False Nettle
Boehmeria drummondiana,Small-spike False Nettle
Boehmeria scabra,Small-spike False Nettle
Boerhavia,spiderling
Boerhavia megaptera,Tucson Mountain Spiderling
Boerhavia spicata,Creeping Spiderling
Boidae,
Boisduvalia glabella,Smooth Spike-primrose
Boisduvalia glabella var. campestris,Smooth Spike-primrose
Boisduvalia pygmaea,Smooth Spike-primrose
Bolla,
Bolla clytius,Mottled Bolla
Bombus,
Bombus bifarius,
Bombus californicus,A Bumble Bee
Bombus centralis,A Bumble Bee
Bombus fervidus,A Bumble Bee
Bombus flavifrons,A Bumble Bee
Bombus huntii,A Bumble Bee
Bombus insularis,Indiscriminate Cuckoo Bumble Bee
Bombus melanopygus,A Bumble Bee
Bombus morrisoni,A Bumble Bee
Bombus nevadensis,A Bumble Bee
Bombus occidentalis,Western Bumble Bee
Bombus pensylvanicus,American Bumble Bee
Bombus rufocinctus,Red-belted Bumble Bee
Bombus variabilis,Variable Cuckoo Bumble Bee
Bombycilla,
Bombycilla cedrorum,Cedar Waxwing
Bombycilla garrulus,Bohemian Waxwing
Bombycillidae,
Boraginaceae,borage family
Bos,
Bos bison,American Bison
Botaurus,
Botaurus lentiginosus,American Bittern
Bothriochloa,
Bothriochloa ischaemum,Yellow Bluestem
Botrychium,grapefern
Botrychium boreale ssp. obtusilobum,Northern Moonwort
Botrychium boreale var. obtusilobum,Northern Moonwort
Botrychium californicum,Leathery Grape-fern
Botrychium coulteri,Leathery Grape-fern
Botrychium crenulatum,Dainty Moonwort
Botrychium dissectum,Cutleaf Grape Fern
Botrychium dusenii,Amphitropical Grape Fern
Botrychium echo,Reflected Moonwort
Botrychium hesperium,Western Moonwort
Botrychium lanceolatum,Triangle Grape-fern
Botrychium lunaria,Moonwort Grape-fern
Botrychium lunaria ssp. minganense,Mingan's Moonwort
Botrychium lunaria ssp. occidentale,Western Moonwort
Botrychium lunaria var. minganense,Mingan's Moonwort
Botrychium lunaria var. onondagense,Moonwort Grape-fern
Botrychium matricariae,Leathery Grape-fern
Botrychium matricariifolium ssp. hesperium,Western Moonwort
Botrychium matricariifolium var. hesperium,Western Moonwort
Botrychium minganense,Mingan's Moonwort
Botrychium multifidum,Leathery Grape-fern
Botrychium multifidum ssp. californicum,Leathery Grape-fern
Botrychium multifidum ssp. coulteri,Leathery Grape-fern
Botrychium multifidum ssp. silaifolium,Leathery Grape-fern
Botrychium multifidum var. californicum,Leathery Grape-fern
Botrychium multifidum var. coulteri,Leathery Grape-fern
Botrychium multifidum var. intermedium,Leathery Grape-fern
Botrychium multifidum var. silaifolium,Leathery Grape-fern
Botrychium onondagense,Moonwort Grape-fern
Botrychium pinnatum,Northern Moonwort
Botrychium silaifolium,Leathery Grape-fern
Botrychium silaifolium var. coulteri,Leathery Grape-fern
Botrychium virginianum,Rattlesnake Fern
Botrychium virginianum ssp. europaeum,Rattlesnake Fern
Botrychium virginianum var. europaeum,Rattlesnake Fern
Botrychium virginianus ssp. europaeus,Rattlesnake Fern
Bouchea,
Bouchea prismatica,Prism Bouchea
Bouteloua,grama
Bouteloua barbata,Six-weeks Grama
Bouteloua barbata var. rothrockii,Rothrock's Grama
Bouteloua eludens,Santa Rita Mountain Grama
Bovidae,
Brachycentridae,
Brachycentrus,
Brachycentrus americanus,A Caddisfly
Brachycentrus occidentalis,A Caddisfly
Brachylagus,
Brachylagus idahoensis,Pygmy Rabbit
Brachymesia,
Brachymesia furcata,Red-tailed Pennant
Brachystigma,
Brachystigma wrightii,Wright's Foxglove
Bramia monnieri,Herb-of-Grace
Bramia rotundifolia,Disk Water Hyssop
Branchinecta,
Branchinecta coloradensis,Colorado Fairy Shrimp
Branchinecta kaibabensis,Kaibab Fairy Shrimp
Branchinecta lindahli,Versatile Fairy Shrimp
Branchinecta packardi,Rock Pool Fairy Shrimp
Branchinectidae,
Branta,
Branta bernicla,Brant
Branta canadensis,Canada Goose
Branta hutchinsii,Cackling Goose
Brasiella,
Brasiella wickhami,Sonoran Tiger Beetle
Brassica,mustard
Brassica nigra,Black Mustard
Brassica tournefortii,Saharan Mustard
Brassicaceae,mustard family
Brechmorhoga,
Brechmorhoga mendax,Pale-faced Clubskimmer
Brechmorhoga pertinax,Masked Clubskimmer
Brephidium,
Brephidium exilis,Western Pygmy-blue
Brickellia,brickellbush
Brickellia amplexicaulis,Ear-leaf Brickellbush
Brickellia baccharidea,Resin-leaf Brickellbush
Brickellia cordifolia,False Boneset
Brickellia eupatorioides,Thoroughwort Brickell-bush
Brickellia eupatorioides var. chlorolepis,False Boneset
Brickellia fendleri,Fendler's Brickellbush
Brickellia floribunda,Chihuahuan Brickellbush
Brickellia rosmarinifolia ssp. chlorolepis,False Boneset
Brickellia rusbyi,Stinking Brickell-bush
Brickellia simplex,Sonoran Brickellbush
Brickelliastrum,
Brickelliastrum fendleri,Fendler's Brickellbush
Brodiaea lemmoniae,Oak Creek Triteleia
Bromeliaceae,airplant family
Bromus,brome
Bromus arizonicus,Arizona Brome
Bromus berterianus,Chilean Brome
Bromus berteroanus,Chilean Brome
Browallia,
Browallia eludens,Bush-violet
Bubo,
Bubo virginianus,Great Horned Owl
Bubulcus,
Bubulcus ibis,Cattle Egret
Bucephala,
Bucephala albeola,Bufflehead
Bucephala clangula,Common Goldeneye
Bucephala islandica,Barrow's Goldeneye
Buchloe,
Buchloe dactyloides,Buffalo Grass
Buddleja,
Buddleja pringlei,Rio Grande Butterfly Bush
Buddleja sessiliflora,Rio Grande Butterfly Bush
Buddleja utahensis,Utah Butterfly Bush
Buddlejaceae,
Bufo alvarius,Sonoran Desert Toad
Bufo cognatus,Great Plains Toad
Bufo debilis,Green Toad
Bufo debilis insidior,Western Green Toad
Bufo punctatus,Red-spotted Toad
Bufo retiformis,Sonoran Green Toad
Bufo woodhousii,Woodhouse's Toad
Bufo woodhousii australis,Southwestern Woodhouse's Toad
Bufo woodhousii woodhousii,Rocky Mountain Toad
Bufonidae,
Bulimulidae,
Bulliarda aquatica,Water Pygmyweed
Bursera,bursera
Bursera fagaroides,Torch Wood Copal
Burseraceae,
Buteo,
Buteo albicaudatus,White-tailed Hawk
Buteo albonotatus,Zone-tailed Hawk
Buteo brachyurus,Short-tailed Hawk
Buteo jamaicensis,Red-tailed Hawk
Buteo lagopus,Rough-legged Hawk
Buteo lineatus,Red-shouldered Hawk
Buteo nitidus,Gray Hawk
Buteo nitidus maxima,Gray Hawk
Buteo plagiatus,Gray Hawk
Buteo platypterus,Broad-winged Hawk
Buteo regalis,Ferruginous Hawk
Buteo swainsoni,Swainson's Hawk
Buteogallus,
Buteogallus anthracinus,Common Black Hawk
Butorides,
Butorides virescens,Green Heron
Cabares,
Cabares potrillo,Potrillo Skipper
Cacalia decomposita,Sonoran Indian-plantain
Cactaceae,cactus family
Cactus grahamii,Graham's Nipple Cactus
Cactus heyderi,Little Nipple Cactus
Caenestheriella setosa,Bristletail Clam Shrimp
Calamoceratidae,
Calamospiza,
Calamospiza melanocorys,Lark Bunting
Calandrinia,
Calandrinia ambigua,Rock Purslane
Calcariidae,Longspurs and Snow Buntings
Calcarius,
Calcarius lapponicus,Lapland Longspur
Calcarius mccownii,McCown's Longspur
Calcarius ornatus,Chestnut-collared Longspur
Calcarius pictus,Smith's Longspur
Calephelis,
Calephelis arizonensis,Arizona Metalmark
Calephelis nemesis,Fatal Metalmark
Calephelis rawsoni,Rawson's Metalwork
Calephelis rawsoni arizonensis,Arizona Metalmark
Calephelis wrighti,Wright's Metalmark
Calia arizonica,Arizona Necklace
Calidris,
Calidris acuminata,Sharp-tailed Sandpiper
Calidris alba,Sanderling
Calidris alpina,Dunlin
Calidris bairdii,Baird's Sandpiper
Calidris canutus,Red Knot
Calidris fuscicollis,White-rumped Sandpiper
Calidris himantopus,Stilt Sandpiper
Calidris mauri,Western Sandpiper
Calidris melanotos,Pectoral Sandpiper
Calidris minutilla,Least Sandpiper
Calidris pugnax,Ruff
Calidris pusilla,Semipalmated Sandpiper
Calidris subruficollis,Buff-breasted Sandpiper
Callibaetis,
Callibaetis montanus,A Mayfly
Callibaetis pallidus,A Mayfly
Callionima,
Callionima parce,A Sphinx Moth
Callipepla,
Callipepla californica,California Quail
Callipepla gambelii,Gambel's Quail
Callipepla squamata,Scaled Quail
Callisaurus,
Callisaurus draconoides,Zebra-tailed Lizard
Callitrichaceae,water-starwort family
Callitriche,water-starwort
Callitriche autumnalis,Autumn Water-starwort
Callitriche hermaphroditica,Autumn Water-starwort
Callitriche heterophylla,Greater Water-starwort
Callitriche palustris,Vernal Water-starwort
Callitriche palustris var. verna,Vernal Water-starwort
Callitriche verna,Vernal Water-starwort
Callophrys,
Callophrys affinis,Western Green Hairstreak
Callophrys augustinus,Brown Elfin
Callophrys comstocki,Comstock's Hairstreak
Callophrys eryphon,Western Pine Elfin
Callophrys fotis,Desert Elfin
Callophrys gryneus,Juniper Hairstreak
Callophrys gryneus siva,Juniper Hairstreak
Callophrys sheridanii,Sheridan's Green Hairstreak
Callophrys spinetorum,Thicket Hairstreak
Callophrys xami,Xami Hairstreak
Callospermophilus,
Callospermophilus lateralis,Golden-mantled Ground Squirrel
Calopterygidae,
Calothorax,
Calothorax lucifer,Lucifer Hummingbird
Calpodes,
Calpodes ethlius,Brazilian Skipper
Caltha,marsh-marigold
Caltha biflora,White Marsh-marigold
Caltha biflora ssp. howellii,White Marsh-marigold
Caltha biflora var. rotundifolia,White Marsh-marigold
Caltha chelidonii,White Marsh-marigold
Caltha howellii,White Marsh-marigold
Caltha leptosepala,White Marsh-marigold
Caltha leptosepala ssp. biflora,White Marsh-marigold
Caltha leptosepala ssp. howellii,White Marsh-marigold
Caltha leptosepala ssp. leptosepala,White Marsh-marigold
Caltha leptosepala ssp. leptosepala var. leptosepala,White Marsh-marigold
Caltha leptosepala ssp. leptosepala var. sulfurea,White Marsh-marigold
Caltha leptosepala var. biflora,White Marsh-marigold
Caltha leptosepala var. leptosepala,White Marsh-marigold
Caltha leptosepala var. rotundifolia,White Marsh-marigold
Caltha leptosepala var. sulfurea,White Marsh-marigold
Calypso,
Calypso americana,Fairy Slipper
Calypso borialis,Fairy Slipper
Calypso bulbosa,Fairy Slipper
Calypso bulbosa var. americana,Fairy Slipper
Calypte,
Calypte anna,Anna's Hummingbird
Calypte costae,Costa's Hummingbird
Cambaridae,crayfishes
Camelobaetidius,
Camelobaetidius kickapoo,A Mayfly
Camissonia,suncup
Camissonia brevipes,Golden Suncup
Camissonia brevipes ssp. arizonica,Golden Suncup
Camissonia brevipes ssp. brevipes,Golden Suncup
Camissonia brevipes ssp. pallidula,Pallid Suncup
Camissonia campestris,Mojave Desert Suncup
Camissonia confertiflora,Grand Canyon Suncup
Camissonia confusa,San Bernardino Suncup
Camissonia eastwoodiae,Grand Junction Suncup
Camissonia exilis,Cottonwood Springs suncup
Camissonia gouldii,Diamond Valley Suncup
Camissonia micrantha,Miniature Suncup
Camissonia multijuga,Froststem Suncup
Camissonia parryi,Redclay Suncup
Camissonia parvula,Least Evening-primrose
Camissonia pusilla,Washoe Suncup
Camissonia specuicola,Kaibab Suncup
Camissonia specuicola ssp. hesperia,Kaibab Suncup
Camissonia specuicola ssp. specuicola,Kaibab Suncup
Camissoniopsis confusa,San Bernardino Suncup
Camissoniopsis micrantha,Miniature Suncup
Campanulaceae,bellflower family
Campostoma,
Campostoma ornatum,Mexican Stoneroller
Campostoma ornatum pricei,Mexican Stoneroller
Camptostoma,
Camptostoma imberbe,Northern Beardless-Tyrannulet
Campylorhynchus,
Campylorhynchus brunneicapillus,Cactus Wren
Canidae,
Canis,
Canis latrans,Coyote
Canis lupus,Gray Wolf
Canis lupus baileyi,Mexican Wolf
Canis lupus youngi,Gray Wolf
Capnia,
Capnia californica,California Snowfly
Capnia caryi,Mogollon Stonefly
Capnia confusa,Widespread Snowfly
Capniidae,
Capparaceae,caper family
Caprifoliaceae,honeysuckle family
Caprimulgidae,
Caprimulgus arizonae,Mexican Whip-poor-will
Caprimulgus ridgwayi,Buff-collared Nightjar
Caprimulgus vociferus,Eastern Whip-poor-will
Caprimulgus vociferus arizonae,Mexican Whip-poor-will
Capsicum,
Capsicum annuum,Chiltepin
Capsicum annuum var. glabriusculum,Chiltepin
Carabidae,Ground Beetles
Caracara,
Caracara cheriway,Crested Caracara
Caracara plancus,Crested Caracara
Caracara plancus audubonii,Crested Caracara
Carassius,
Carassius auratus,Goldfish
Cardaria,
Cardaria draba,Globe-podded Hoary Cress
Cardaria pubescens,Hairy Whitetop
